ID,Title,Blueprint,SqFt,Lot Size,Year Built,Property Type,Status,Distressed,Short Sale,HOA/COA,Owner Type,Owner Status,Occupancy,Length of Ownership,Purchase Method,County,Estimated Value
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 2,"1,828",N/A,2017,Single Family Residential,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,4 Years 2 Months,Cash,Collin,
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 3,"1,230","186,920",2017,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 4,"1,230","186,915",2017,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 5,"4,453","12,991",2004,Single Family Residential,Off Market,No,No,No,Trust,Owner Occupied,Occupied,19 Years 4 Months,Financed,Collin,
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 6,791,N/A,2007,Condominium (Residential),Off Market,No,No,Yes,Individual,Non-Owner Occupied,Occupied,2 Years 8 Months,Financed,Miami-dade,
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 7,"1,336",N/A,2005,Single Family Residential,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,7 Years 10 Months,Cash,Collin,
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 8,"1,350",8,1989,Commercial (General),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,8 Years 7 Months,Financed,Denton,
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 9,"1,059",44,2003,Condominium (Residential),Off Market,No,No,Yes,Trust,Non-Owner Occupied,Occupied,12 Years 11 Months,Cash,San Joaquin,
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 10,"2,011","6,239",2003,Single Family Residential,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,8 Years,Cash,Collin,
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 11,N/A,"1,361,250",N/A,Agricultural / Rural,Off Market,No,No,No,Trust,Non-Owner Occupied,Occupied,9 Months,Cash,Hunt,
16,"1402 S Custer Rd #302
McKinney, TX 75072",Blueprint 12,N/A,"108,900",N/A,Vacant Land (General),Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,3 Years,Cash,Kern,
17,"701 N Tennessee St
McKinney, TX 75069",Primary,"1,200","5,000",1986,Commercial (General),On Market,No,No,No,Individual,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
17,"701 N Tennessee St
McKinney, TX 75069",Blueprint 1,"1,361","11,234",1966,Single Family Residential,Off Market,No,No,No,Individual,Owner Occupied,Occupied,31 Years 4 Months,Financed,Collin,
17,"701 N Tennessee St
McKinney, TX 75069",Blueprint 2,"1,361","11,234",1966,Single Family Residential,Off Market,No,No,No,Individual,Owner Occupied,Occupied,31 Years 4 Months,Financed,Collin,
17,"701 N Tennessee St
McKinney, TX 75069",Blueprint 3,"2,250","6,226",1975,Commercial (General),Off Market,No,No,No,Individual,Non-Owner Occupied,Vacant,N/A,Financed,Collin,
17,"701 N Tennessee St
McKinney, TX 75069",Blueprint 4,"1,164","2,567,949",1965,Rural Residence (Agricultural),Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
17,"701 N Tennessee St
McKinney, TX 75069",Blueprint 5,"1,129","50,530",1948,Single Family Residential,Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,26 Years 11 Months,Financed,Collin,
17,"701 N Tennessee St
McKinney, TX 75069",Blueprint 6,N/A,"3,977",N/A,Residential-Vacant Land,On Market,No,No,No,Individual,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
17,"701 N Tennessee St
McKinney, TX 75069",Blueprint 7,"1,200","5,000",1986,Commercial (General),On Market,No,No,No,Individual,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
17,"701 N Tennessee St
McKinney, TX 75069",Blueprint 8,N/A,"65,340",N/A,Agricultural-Unimproved Vacant Land,Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
18,"811 Countryview Trl
Princeton, TX 75407",Primary,"3,979","1,672,573",2011,Commercial (General),On Market,No,No,No,Individual,Non-Owner Occupied,Occupied,18 Years 3 Months,Cash,Collin,N/A
18,"811 Countryview Trl
Princeton, TX 75407",Blueprint 1,"1,200","90,169",1980,Mobile home,Off Market,No,No,No,Individual,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
19,"716 E Main St
Allen, TX 75002",Primary,"4,660","40,162",1975,Commercial (General),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,22 Years 4 Months,Cash,Collin,N/A
19,"716 E Main St
Allen, TX 75002",Blueprint 1,"3,321","12,361",1994,Single Family Residential,Off Market,No,No,Yes,Trust,Owner Occupied,Occupied,20 Years 10 Months,Financed,San Diego,
19,"716 E Main St
Allen, TX 75002",Blueprint 5,"3,321","12,361",1994,Single Family Residential,Off Market,No,No,Yes,Trust,Owner Occupied,Occupied,20 Years 10 Months,Financed,San Diego,
20,"3721 S Stonebridge Dr #202
McKinney, TX 75070",Primary,"1,225","297,993",2021,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
20,"3721 S Stonebridge Dr #202
McKinney, TX 75070",Blueprint 1,"8,076","227,287",2015,Rural Residence (Agricultural),Off Market,No,No,No,Individual,Owner Occupied,Occupied,10 Years 9 Months,Financed,Collin,
20,"3721 S Stonebridge Dr #202
McKinney, TX 75070",Blueprint 8,"8,076","227,287",2015,Rural Residence (Agricultural),Off Market,No,No,No,Individual,Owner Occupied,Occupied,10 Years 9 Months,Financed,Collin,
21,"223 McKinney St
Farmersville, TX 75442",Primary,647,"42,406",1978,Commercial (General),On Market,Bank Owned,No,No,Corporate,Non-Owner Occupied,Vacant,,Financed,Collin,N/A
21,"223 McKinney St
Farmersville, TX 75442",Blueprint 1,"3,607","73,355",1999,Commercial (General),Off Market,Bank Owned,No,No,Corporate,Non-Owner Occupied,Vacant,N/A,Financed,Collin,
21,"223 McKinney St
Farmersville, TX 75442",Blueprint 2,720,"22,098",1988,Commercial (General),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
21,"223 McKinney St
Farmersville, TX 75442",Blueprint 3,"5,698","124,015",2006,Commercial (General),Off Market,Bank Owned,No,No,Corporate,Non-Owner Occupied,Vacant,22 Years 1 Month,Cash,Collin,
21,"223 McKinney St
Farmersville, TX 75442",Blueprint 4,647,"42,406",1978,Commercial (General),On Market,Bank Owned,No,No,Corporate,Non-Owner Occupied,Vacant,N/A,Financed,Collin,
21,"223 McKinney St
Farmersville, TX 75442",Blueprint 5,N/A,"19,371",N/A,Commercial (General),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
21,"223 McKinney St
Farmersville, TX 75442",Blueprint 6,N/A,"10,498",N/A,Commercial-Vacant Land,Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
21,"223 McKinney St
Farmersville, TX 75442",Blueprint 7,N/A,"21,759",N/A,Commercial (General),Off Market,Bank Owned,No,No,Corporate,Non-Owner Occupied,Vacant,N/A,Financed,Collin,
22,"8751 Collin McKinney Pkwy #903
McKinney, TX 75070",Primary,910,"350,135",2019,Commercial Condominium (not offices),On Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,,Financed,Collin,N/A
22,"8751 Collin McKinney Pkwy #903
McKinney, TX 75070",Blueprint 1,"2,374","350,135",2019,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
22,"8751 Collin McKinney Pkwy #903
McKinney, TX 75070",Blueprint 2,"2,374","350,135",2019,Commercial Condominium (not offices),Off Market,No,No,No,Corporate,Non-Owner Occupied,Occupied,N/A,Financed,Collin,
